tree_id,block_id,species_group,latitude,longitude,health,tree_dbh,stump_diam,curb_loc,steward,sidewalk,address,zipcode,boroname,nta,nta_name
84050,102787,Other,40.7184741,-73.98629138,Fair,2,0,OnCurb,1or2,NoDamage,98 SUFFOLK STREET,10002,Manhattan,MN28,Lower East Side
83191,102378,Callery pear,40.71012459,-73.99014927,Good,4,0,OnCurb,1or2,NoDamage,82 RUTGERS SLIP,10002,Manhattan,MN28,Lower East Side
69168,102986,Other,40.72371313,-73.98370304,Good,6,0,OnCurb,1or2,Damage,220 EAST 4 STREET,10009,Manhattan,MN22,East Village
472098,102963,littleleaf linden,40.72340807,-73.98486149,Fair,9,0,OnCurb,None,NoDamage,160 EAST 3 STREET,10009,Manhattan,MN22,East Village
206477,105374,pin oak,40.73899969,-73.97992753,Good,8,0,OnCurb,3or4,NoDamage,420 2 AVENUE,10010,Manhattan,MN20,Murray Hill-Kips Bay
480599,102451,London planetree,40.711451340000004,-73.98053921,Good,18,0,OnCurb,None,NoDamage,71 JACKSON STREET,10002,Manhattan,MN28,Lower East Side
72897,102473,Sophora,40.7133881,-73.98936164,Good,4,0,OnCurb,4orMore,NoDamage,160 HENRY STREET,10002,Manhattan,MN28,Lower East Side
221121,105456,Other,40.74100659,-73.97843096,Good,13,0,OffsetFromCurb,1or2,NoDamage,500 2 AVENUE,10016,Manhattan,MN20,Murray Hill-Kips Bay
27848,105402,ginkgo,40.73830359,-73.98602259,Good,15,0,OnCurb,1or2,NoDamage,50 GRAMERCY PARK NORTH,10003,Manhattan,MN21,Gramercy
173788,217083,honeylocust,40.70589853,-73.96480293,Good,5,0,OnCurb,None,Damage,103 CLYMER STREET,11249,Brooklyn,BK72,Williamsburg
233089,103167,ginkgo,40.72826934,-73.98678453,Poor,12,0,OnCurb,1or2,Damage,49 ST MARKS PLACE,10003,Manhattan,MN22,East Village
136797,217846,Other,40.71299835,-73.96649123,Good,5,0,OnCurb,None,NoDamage,36 SOUTH 4 STREET,11249,Brooklyn,BK73,North Side-South Side
48050,103489,littleleaf linden,40.74229576,-74.00095115,Good,4,0,OnCurb,None,NoDamage,300 WEST 18 STREET,10011,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
72421,102729,Other,40.71768071,-73.99051194,Good,2,0,OnCurb,1or2,NoDamage,77 ORCHARD STREET,10002,Manhattan,MN27,Chinatown
470693,102527,Other,40.71403415,-73.98860887,Good,1,0,OnCurb,1or2,NoDamage,7 JEFFERSON STREET,10002,Manhattan,MN28,Lower East Side
30650,101899,littleleaf linden,40.73415822,-73.99734877,Good,6,0,OnCurb,3or4,NoDamage,40 WEST 10 STREET,10011,Manhattan,MN23,West Village
33970,101770,Other,40.73047681,-74.0021352,Fair,5,0,OnCurb,None,Damage,7 CARMINE STREET,10014,Manhattan,MN23,West Village
177224,105405,Other,40.73851621,-73.98217525,Good,2,0,OnCurb,1or2,NoDamage,215 EAST 23 STREET,10010,Manhattan,MN21,Gramercy
196554,103291,Other,40.71189523,-73.99228598,Good,3,0,OnCurb,1or2,NoDamage,55 PIKE STREET,10002,Manhattan,MN27,Chinatown
102418,103050,honeylocust,40.72453138,-73.97551703,Poor,2,0,OnCurb,1or2,NoDamage,133 AVENUE D,10009,Manhattan,MN28,Lower East Side
277365,100233,honeylocust,40.70795824,-74.00115239,Good,7,0,OnCurb,1or2,NoDamage,240 FRONT STREET,10038,Manhattan,MN25,Battery Park City-Lower Manhattan
155424,217789,pin oak,40.71248422,-73.96588115,Good,4,0,OnCurb,None,NoDamage,357 WYTHE AVENUE,11249,Brooklyn,BK73,North Side-South Side
531873,103289,Sophora,40.71039937,-73.99197643,Good,4,0,OnCurb,None,NoDamage,71 PIKE SLIP,10002,Manhattan,MN27,Chinatown
44641,105345,pin oak,40.73556908,-73.98107919,Good,11,0,OnCurb,1or2,Damage,332 EAST 20 STREET,10010,Manhattan,MN21,Gramercy
26958,103432,Japanese zelkova,40.73950691,-73.99771724,Good,15,0,OnCurb,1or2,Damage,141 WEST 16 STREET,10011,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
202046,103117,honeylocust,40.72717907,-73.99005869,Good,21,0,OnCurb,None,Damage,224 EAST 5 STREET,10003,Manhattan,MN22,East Village
278764,100634,Other,40.71741384,-74.0005233,Poor,9,0,OnCurb,1or2,NoDamage,139 CENTRE STREET,10013,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
272353,102116,Callery pear,40.73682591,-74.00411776,Good,3,0,OnCurb,1or2,NoDamage,69 BANK STREET,10014,Manhattan,MN23,West Village
195309,102083,Sophora,40.7357081,-73.99817893,Good,14,0,OnCurb,None,Damage,473 AVENUE OF THE AMERICAS,10011,Manhattan,MN23,West Village
176351,105351,Callery pear,40.73613029,-73.98059431,Good,9,0,OnCurb,None,NoDamage,323 EAST 21 STREET,10010,Manhattan,MN21,Gramercy
11665,100591,Japanese zelkova,40.71652863,-74.00119664,Fair,3,0,OnCurb,None,NoDamage,111 CENTRE STREET,10013,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
172015,102981,ginkgo,40.7236373,-73.97907226,Good,12,0,OnCurb,1or2,NoDamage,94 AVENUE C,10009,Manhattan,MN28,Lower East Side
173345,102351,honeylocust,40.73354963,-74.00348519,Fair,10,0,OnCurb,3or4,Damage,79 CHRISTOPHER STREET,10014,Manhattan,MN23,West Village
73831,103482,honeylocust,40.74257834,-73.99591569,Good,4,0,OnCurb,None,NoDamage,163 WEST 21 STREET,10011,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
103323,103216,Other,40.72942705,-73.9811824,Good,3,0,OnCurb,1or2,NoDamage,201 AVENUE A,10009,Manhattan,MN22,East Village
72418,102729,Other,40.71790858,-73.99039624,Good,5,0,OnCurb,1or2,NoDamage,85 ORCHARD STREET,10002,Manhattan,MN27,Chinatown
314723,103043,honeylocust,40.7242246,-73.98856707,Good,11,0,OnCurb,1or2,NoDamage,80 EAST 2 STREET,10003,Manhattan,MN22,East Village
