artist,track_name,region,date,streams
Ed Sheeran,Shape of You,se,2017-09-01,106272
Ed Sheeran,Shape of You,se,2017-09-02,100756
Ed Sheeran,Shape of You,se,2017-09-03,77015
Ed Sheeran,Shape of You,se,2017-09-04,81685
Ed Sheeran,Shape of You,se,2017-09-05,85150
Ed Sheeran,Shape of You,se,2017-09-06,86656
Ed Sheeran,Shape of You,se,2017-09-07,90317
Ed Sheeran,Shape of You,se,2017-09-08,106157
Ed Sheeran,Shape of You,se,2017-09-09,100409
Ed Sheeran,Shape of You,se,2017-09-10,76210
Ed Sheeran,Shape of You,se,2017-09-11,80391
Ed Sheeran,Shape of You,se,2017-09-12,79690
Ed Sheeran,Shape of You,se,2017-09-13,81816
Ed Sheeran,Shape of You,se,2017-09-14,82090
Ed Sheeran,Shape of You,se,2017-09-15,98112
Ed Sheeran,Shape of You,se,2017-09-16,95955
Ed Sheeran,Shape of You,se,2017-09-17,74664
Ed Sheeran,Shape of You,se,2017-09-18,81131
Ed Sheeran,Shape of You,se,2017-09-19,80215
Ed Sheeran,Shape of You,se,2017-09-20,82775
Ed Sheeran,Shape of You,se,2017-09-21,84308
Ed Sheeran,Shape of You,se,2017-09-22,100200
Ed Sheeran,Shape of You,se,2017-09-23,98963
Ed Sheeran,Shape of You,se,2017-09-24,77978
Ed Sheeran,Shape of You,se,2017-09-25,82966
Ed Sheeran,Shape of You,se,2017-09-26,82222
Ed Sheeran,Shape of You,se,2017-09-27,87159
Ed Sheeran,Shape of You,se,2017-09-28,88189
Ed Sheeran,Shape of You,se,2017-09-29,101556
Ed Sheeran,Shape of You,se,2017-09-30,96969
Ed Sheeran,Shape of You,se,2017-10-01,75112
Ed Sheeran,Shape of You,se,2017-10-02,78443
Ed Sheeran,Shape of You,se,2017-10-03,79869
Ed Sheeran,Shape of You,se,2017-10-04,83493
Ed Sheeran,Shape of You,se,2017-10-05,83759
Ed Sheeran,Shape of You,se,2017-10-06,99542
Ed Sheeran,Shape of You,se,2017-10-07,94583
Ed Sheeran,Shape of You,se,2017-10-08,75215
Ed Sheeran,Shape of You,se,2017-10-09,78437
Ed Sheeran,Shape of You,se,2017-10-10,78370
Ed Sheeran,Shape of You,se,2017-10-11,83486
